code,priority,due_date,requested_material_code,requested_qty,route_code,status,note
sales_order_001,20,2026/6/11 0:00,al_5_2_solenoid_valve,500,al_5_2_solenoid_valve_route_v1,pending,none
sales_order_002,10,2026/6/17 0:00,brass_tee_ball_valve,600,brass_tee_ball_valve_route,pending,none
sales_order_003,20,2026/7/12 0:00,al_throttle_valve,700,al_throttle_valve_route,pending,none
sales_order_004,30,2026/7/3 0:00,brass_female_elbow_pushin,800,brass_female_elbow_pushin_route,pending,none
sales_order_005,10,2026/7/9 0:00,frl_trio_unit,900,frl_trio_unit_route_v1,pending,none
sales_order_006,20,2026/6/19 0:00,brass_male_pushin_fitting,900,brass_male_pushin_fitting_route_v1,pending,none
sales_order_007,10,2026/6/6 0:00,oil_mist_lubricator,800,oil_mist_lubricator_route,pending,none
sales_order_008,20,2026/6/5 0:00,frl_duo_unit,300,frl_duo_unit_route,pending,none
sales_order_009,20,2026/6/25 0:00,brass_female_elbow_pushin,900,brass_female_elbow_pushin_route,pending,none
sales_order_010,20,2026/6/16 0:00,brass_check_valve,500,brass_check_valve_route,pending,none
sales_order_011,20,2026/6/22 0:00,al_throttle_valve,600,al_throttle_valve_route,pending,none
sales_order_012,30,2026/6/11 0:00,brass_air_release_valve,500,brass_air_release_valve_route,pending,none
sales_order_013,20,2026/6/2 0:00,welded_mounting_bracket_assy,400,welded_mounting_bracket_assy_route,pending,none
sales_order_014,20,2026/6/12 0:00,silencer_fitting_assy,400,silencer_fitting_assy_route,pending,none
sales_order_015,20,2026/6/16 0:00,brass_pressure_regulator,500,brass_pressure_regulator_route_v1,pending,none
sales_order_016,20,2026/6/7 0:00,frl_trio_unit,400,frl_trio_unit_route_v1,pending,none
sales_order_017,20,2026/6/15 0:00,silencer_fitting_assy,900,silencer_fitting_assy_route,pending,none
sales_order_018,10,2026/6/27 0:00,brass_tee_ball_valve,700,brass_tee_ball_valve_route,pending,none
sales_order_019,30,2026/7/15 0:00,al_quick_exhaust_valve,500,al_quick_exhaust_valve_route,pending,none
sales_order_020,10,2026/6/26 0:00,stainless_pushin_straight,700,stainless_pushin_straight_route,pending,none
sales_order_021,10,2026/6/19 0:00,brass_pressure_regulator,800,brass_pressure_regulator_route_v1,pending,none
sales_order_022,20,2026/7/4 0:00,frl_duo_unit,500,frl_duo_unit_route,pending,none
sales_order_023,10,2026/7/7 0:00,al_3_2_solenoid_valve,600,al_3_2_solenoid_valve_route,pending,none
sales_order_024,20,2026/6/13 0:00,silencer_fitting_assy,300,silencer_fitting_assy_route,pending,none
sales_order_025,20,2026/6/19 0:00,welded_mounting_bracket_assy,900,welded_mounting_bracket_assy_route,pending,none
sales_order_026,10,2026/6/3 0:00,silencer_fitting_assy,700,silencer_fitting_assy_route,pending,none
sales_order_027,20,2026/6/7 0:00,al_manual_directional_valve,300,al_manual_directional_valve_route,pending,none
sales_order_028,20,2026/7/15 0:00,brass_female_elbow_pushin,900,brass_female_elbow_pushin_route,pending,none
sales_order_029,20,2026/7/1 0:00,brass_female_elbow_pushin,400,brass_female_elbow_pushin_route,pending,none
sales_order_030,10,2026/7/4 0:00,al_3_2_solenoid_valve,400,al_3_2_solenoid_valve_route,pending,none
sales_order_031,10,2026/7/18 0:00,brass_female_elbow_pushin,800,brass_female_elbow_pushin_route,pending,none
sales_order_032,20,2026/7/13 0:00,brass_pressure_regulator,700,brass_pressure_regulator_route_v1,pending,none
sales_order_033,30,2026/7/5 0:00,air_filter_regulator,600,air_filter_regulator_route,pending,none
sales_order_034,30,2026/7/16 0:00,brass_air_release_valve,900,brass_air_release_valve_route,pending,none
sales_order_035,20,2026/6/22 0:00,brass_straight_ball_valve,400,brass_straight_ball_valve_route,pending,none
sales_order_036,10,2026/7/17 0:00,brass_stabilizer_valve,500,brass_stabilizer_valve_route,pending,none
sales_order_037,30,2026/7/7 0:00,frl_duo_unit,800,frl_duo_unit_route,pending,none
sales_order_038,10,2026/6/21 0:00,al_3_2_solenoid_valve,300,al_3_2_solenoid_valve_route,pending,none
sales_order_039,30,2026/6/1 0:00,frl_trio_unit,900,frl_trio_unit_route_v1,pending,none
sales_order_040,20,2026/6/12 0:00,brass_pressure_regulator,300,brass_pressure_regulator_route_v1,pending,none
sales_order_041,20,2026/6/30 0:00,al_3_2_solenoid_valve,400,al_3_2_solenoid_valve_route,pending,none
sales_order_042,10,2026/7/1 0:00,al_throttle_valve,600,al_throttle_valve_route,pending,none
sales_order_043,20,2026/6/28 0:00,brass_male_pushin_fitting,900,brass_male_pushin_fitting_route_v1,pending,none
sales_order_044,10,2026/6/6 0:00,al_3_2_solenoid_valve,300,al_3_2_solenoid_valve_route,pending,none
sales_order_045,10,2026/7/13 0:00,air_filter_regulator,600,air_filter_regulator_route,pending,none
sales_order_046,10,2026/7/6 0:00,stainless_pushin_straight,500,stainless_pushin_straight_route,pending,none
sales_order_047,10,2026/6/20 0:00,air_filter_regulator,500,air_filter_regulator_route,pending,none
sales_order_048,20,2026/7/15 0:00,brass_air_release_valve,600,brass_air_release_valve_route,pending,none
sales_order_049,10,2026/6/10 0:00,brass_pressure_regulator,700,brass_pressure_regulator_route_v1,pending,none
sales_order_050,30,2026/7/17 0:00,brass_female_elbow_pushin,500,brass_female_elbow_pushin_route,pending,none
